model,precision_macro,recall_macro,f1_macro,f1_weighted
persian_distilbert,0.6136353062236893,0.6177341922046983,0.615113392741267,0.6599503559111517
logistic_regression,0.5377970036974508,0.533129244470083,0.534912175771678,0.613704998624559
linear_svm,0.5275904317547591,0.5185438206540239,0.5217372175289455,0.5997753130628989
multinomial_nb,0.41306890414441905,0.43743394933021057,0.40315969893434683,0.5391416272895625
